#nr	WSJID	Relation	pdtbConn	pdtbSense	rstSense	context-2	arg1	arg2	context+1
3743	1317	Implicit	while	Comparison.Contrast.Juxtaposition	Contrast	Mr. Roman also brushed aside reports about infighting between him and Mr. Phillips, his successor at Ogilvy. The two executives could hardly be more different.	Mr. Roman comes across as a low-key executive //	Mr. Phillips has a flashier personality.	"During time off, Mr. Roman tends to his garden; Mr. Phillips confesses to a fondness for, among other things, fast cars and planes."
4606	1368	Implicit	for example	Expansion.Instantiation	explanation-argumentative	The U.S. ranks fourth of countries that have concluded joint ventures, behind West Germany, Finland and Italy. According to several people present at the meeting, Mr. Gorbachev also supported the idea of concluding several commercial accords with the U.S., possibly at his next summit meeting with President Bush. 	Judging by the crush at the exhibition, deprived Soviet consumers are more than ready for U.S. products //	hundreds of people lined up every day at the Colgate-Palmolive Co. stand to receive a free tube of toothpaste, a commodity in chronically short supply here.	And unruly crowds at RJR Nabisco Inc. 's booth almost knocked over a glass showcase in the rush to get a free Camel cigarette sticker. 
4686	1373	Implicit	specifically	Expansion.Restatement.Specification	elaboration-general-specific	"They mimic the brain by ""looking"" at an image, extracting the fundamentals -- boundaries, corners and lines -- and translating them into computer data. Sharp says the set of chips could improve fax machines, graphics computers or identification systems that recognize facial features. . . ."	An N.V. Philips unit has created a computer system that processes video images 3,000 times faster than conventional systems //	using reduced instruction-set computing, or RISC, chips made by Intergraph of Huntsville, Ala., the system splits the image it  sees  into 20 digital representations, each processed by one chip.	
5122	1390	ImplicitS	because	Contingency.Cause.Reason	reason	"Top officers insist Maidenform's greatest strength is its family ownership. ""You can't go anywhere in this company and find an organizational chart,"" one delights."	"""It is fun competing as a private company //"	"you can think long range,"""	Mr. Brawer says. Other major players in intimate apparel apparently feel the same way.
5192	1394	Implicit	for example	Expansion.Instantiation	elaboration-general-specific	"""Unions would have a profound effect on the whole culture of the company,"" says Bernard La Londe, a professor at Ohio State University at Columbus and a Federal consultant. That culture, carefully crafted by Mr. Smith, leaves little, if any, room for unions."	Since founding the company, the charismatic Vietnam vet, who is still only 46 years old, has fostered an ethos of combat //	"flights are ""missions."""	"Mr. Smith's managers have, at times, been called ""Ho Chi Minh's Guerrillas."""
5924	2325	ImplicitO	as a result	Contingency.Cause.Result	consequence-n	"Third-quarter profits from gasoline were weaker. ""Refining margins were so good in the third quarter of last year and generally not very good this year,"" said William Randol, a securities analyst at First Boston Corp. "	Oil company refineries ran flat out to prepare for a robust holiday driving season in July and August that didn't materialize //	the excess supply pushed gasoline prices down in that period.	In addition, crude oil prices were up some from a year earlier, further pressuring profitability. 
6118	2343	Implicit	for example	Expansion.Instantiation	example	"The games Bronx children played (holding kids down and stripping them, for example) seem tame by today's crack standards, but Ms. Cunningham makes it all sound like a great adventure. ""Without official knowledge of sex or death, we flirted with both,"" she writes."	She analyzed families by their sleeping arrangements //	her friend Susan, whose parents kept reminding her she was unwanted, slept on a narrow bed wedged into her parents' bedroom, as though she were a temporary visitor.	"Her friend Diana's father was a professional thief; they didn't seem to have any bedrooms at all. "
6521	2366	Implicit	specifically	Expansion.Restatement.Specification	explanation-argumentative	Two-thirds of respondents said they strongly felt the need to be successful in their jobs, while fewer than half said they strongly felt the need to spend more time with their families. Being successful in careers and spending the money they make are top priorities for this group. 	Unlike most studies of the affluent market, this survey excluded the super-rich //	average household income for the sample was $194,000, and average net assets were reported as $775,000.	The goal was to learn about one of today's fastest-growing income groups, the upper-middle class.
6731	2398	Explicit	though	Comparison.Concession.Contra-expectation	concession	In the 1988 third quarter, the company earned $461 million, or $1.91 a share, on sales of $7.99 billion. Du Pont declined to comment. 	Monsanto Co., too, is expected to continue reporting higher profit //	its sales of crop chemicals were hurt in the latest quarter by drought in northern Europe and the western U.S.	The St. Louis-based company is expected to report again that losses in its G.D. Searle & Co. pharmaceutical business are narrowing.
1841	1128	Implicit	indeed	Expansion.Restatement.Specification	evidence	Compared to the Red Delicious, the exemplar of apple pulchritude, the Fuji is decidedly more dowdy -- generally smaller, less-perfectly shaped, greenish, with tinges of red. To hear most U.S. growers tell it, we'd still be in Paradise if the serpent had proffered one to Eve. 	But how sweet it is //	"it has more sugar ""than any apple we've ever tested,"""	"says Duane Greene, a University of Massachusetts pomologist, or apple scholar. It has a long shelf life and ""doesn't fool the public,"" says Grady Auvil, an Orondo, Wash., grower who is planting Fujis and spreading the good word about them."
